sex,size,replicate,survival_immediate,survival_twoweeks,dry_weight
f,a,1,d,d,0.00051
f,a,2,d,d,0.00033
f,a,3,d,d,0.00049
f,a,4,d,d,0.00044
f,a,5,s,d,0.00048
f,a,6,NA,NA,NA
f,b,1,d,d,0.00075
f,b,2,s,d,0.00054
f,b,3,s,d,0.00047
f,b,4,d,d,0.00075
f,b,5,d,d,0.00057
f,b,6,d,d,0.00067
f,c,1,s,s ,0.00097
f,c,2,s,s ,0.00087
f,c,3,s,d,0.00062
f,c,4,d,d,0.00079
f,c,5,d,d,0.00064
f,c,6,d,d,0.00085
f,d,1,s,s,0.00121
f,d,2,s,d,0.0007
f,d,3,d,d,0.00086
f,d,4,s,s,0.00128
f,d,5,s,s ,0.00098
f,d,6,d,d,0.00074
f,e,1,s,s,0.00132
f,e,2,s,s,0.0013
f,e,3,s,d,0.00076
f,e,4,s,d,0.00076
f,e,5,d,d,0.00082
f,e,6,s,s ,0.00136
m,a,1,s,d,0.00041
m,a,2,s,s ,0.00073
m,a,3,d,d,0.00043
m,a,4,d,d,0.00066
m,a,5,d,d,0.00068
m,a,6,s,s,0.00086
m,b,1,d,d,0.00057
m,b,2,d,d,0.00058
m,b,3,s,d,0.00056
m,b,4,s,d,0.00049
m,b,5,d,d,0.00075
m,b,6,s,d,0.00052
m,c,1,s,d,0.00055
m,c,2,s,d,0.00058
m,c,3,s,d,0.00054
m,c,4,s,s ,0.00095
m,c,5,s,s,0.00112
m,c,6,d,d,0.00079
m,d,1,s,s,0.00113
m,d,2,s,s,0.00113
m,d,3,s,s,0.00114
m,d,4,s,s ,0.00105
m,d,5,s,s ,0.00109
m,d,6,s,s,0.00116
m,e,1,d,d,0.00073
m,e,2,s ,d,0.00073
m,e,3,s ,s,0.00118
m,e,4,s,d,0.00064
m,e,5,s,s,0.00126
m,e,6,s,s,0.00121
