adapted_temp,sex,id,weight
25,f,1,0.0014
25,f,2,0.00127
25,f,3,0.00149
25,f,4,0.00149
25,f,5,0.00145
25,f,6,0.00146
25,f,7,0.00131
25,f,8,0.00142
25,f,9,0.00152
25,f,10,0.00137
25,m,1,0.00105
25,m,2,0.00129
25,m,3,0.0013
25,m,4,0.00116
25,m,5,0.00098
25,m,6,0.00111
25,m,7,0.00143
25,m,8,0.00136
25,m,9,0.00106
25,m,10,0.00126
30,f,1,0.00142
30,f,2,0.00112
30,f,3,0.00131
30,f,4,0.00137
30,f,5,0.00151
30,f,6,0.00148
30,f,7,0.00137
30,f,8,0.00142
30,f,9,0.00117
30,f,10,0.00127
30,m,1,0.00127
30,m,2,0.00117
30,m,3,0.00131
30,m,4,0.00107
30,m,5,0.00116
30,m,6,0.00129
30,m,7,0.00121
30,m,8,0.00144
30,m,9,0.00131
30,m,10,0.00134
35,f,1,0.0012
35,f,2,0.00124
35,f,3,0.0012
35,f,4,0.00131
35,f,5,0.0012
35,f,6,0.00126
35,f,7,0.00113
35,f,8,0.00127
35,f,9,0.00108
35,f,10,0.00116
35,m,1,0.00104
35,m,2,0.00121
35,m,3,0.00121
35,m,4,0.00115
35,m,5,0.00132
35,m,6,0.00122
35,m,7,0.00141
35,m,8,0.00115
35,m,9,0.00129
35,m,10,0.00119
